timestamp,flow1,occupancy1,flow2,occupancy2,flow3,occupancy3,totalflow,weekday,hour,minute,second
2016-01-01 00:52:04,2,0.01,1,0.0056,2,0.0122,5,4,0,52,0
2016-01-01 00:52:34,0,0,3,0.0189,0,0,3,4,0,52,30
2016-01-01 00:53:04,2,0.01,3,0.0133,1,0.0044,6,4,0,53,0
2016-01-01 00:53:35,6,0.0333,6,0.0367,1,0.0044,13,4,0,53,30
2016-01-01 00:54:04,2,0.01,1,0.0044,2,0.01,5,4,0,54,0
2016-01-01 00:54:33,0,0,0,0,1,0.0044,1,4,0,54,30
2016-01-01 00:55:03,1,0.0056,1,0.0033,2,0.0111,4,4,0,55,0
2016-01-01 00:55:35,2,0.0111,5,0.0289,2,0.0278,9,4,0,55,30
2016-01-01 00:56:04,0,0,1,0.0056,1,0.0056,2,4,0,56,0
2016-01-01 00:56:34,1,0.0044,5,0.0289,2,0.0522,8,4,0,56,30
2016-01-01 00:57:04,0,0,0,0,2,0.01,2,4,0,57,0
2016-01-01 00:57:34,0,0,2,0.0122,1,0.0056,3,4,0,57,30
2016-01-01 00:58:05,1,0.0044,2,0.01,0,0,3,4,0,58,0
2016-01-01 00:58:33,0,0,1,0.0056,2,0.0122,3,4,0,58,30
2016-01-01 00:59:03,0,0,0,0,1,0.0044,1,4,0,59,0
2016-01-01 00:59:34,1,0.0044,6,0.0344,2,0.0111,9,4,0,59,30
2016-01-01 01:00:04,5,0.0278,4,0.0244,6,0.0433,15,4,1,0,0
2016-01-01 01:00:34,3,0.0167,4,0.0211,1,0.0056,8,4,1,0,30
2016-01-01 01:01:04,0,0,2,0.01,2,0.0111,4,4,1,1,0
2016-01-01 01:01:32,2,0.0111,2,0.0111,1,0.0067,5,4,1,1,30
2016-01-01 01:02:02,1,0.0044,0,0,1,0.0056,2,4,1,2,0
2016-01-01 01:02:32,4,0.0222,2,0.0111,2,0.0111,8,4,1,2,30
2016-01-01 01:03:03,3,0.0167,4,0.0233,1,0.0078,8,4,1,3,0
2016-01-01 01:03:33,2,0.0078,0,0,3,0.0367,5,4,1,3,30
2016-01-01 01:04:03,0,0,1,0.0056,0,0,1,4,1,4,0
2016-01-01 01:04:33,0,0,4,0.0233,2,0.0333,6,4,1,4,30
2016-01-01 01:05:04,2,0.01,3,0.0178,4,0.0222,9,4,1,5,0
2016-01-01 01:05:32,0,0,2,0.0111,3,0.0178,5,4,1,5,30
2016-01-01 01:06:03,1,0.0044,1,0.0044,1,0.0033,3,4,1,6,0
2016-01-01 01:06:33,1,0.0033,3,0.0178,1,0.0044,5,4,1,6,30
2016-01-01 01:07:03,1,0.0056,1,0.0067,1,0.0067,3,4,1,7,0
2016-01-01 01:07:33,1,0.0044,4,0.0222,2,0.0122,7,4,1,7,30
2016-01-01 01:08:03,0,0,5,0.0289,1,0.0067,6,4,1,8,0
